Image URL,Image Title,Image Caption
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8d53dd4ce71bab936618cfe3066ca995.jpg?v=1711373768,Arabesque & Lantern,Arabesque & Lantern - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/fanfare_white_circle_wall_3.jpg?v=1742389969,Circle & Oval Tile,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Emotion.png?v=1681243496,Plank,Plank Shaped Tile
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Align.png?v=1681244739,Basketweave & Woven,Basketweave
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/RUE_PIERRE_BLANC_ANT_12_OCTAGON.png?v=1711373775,Octagon,Octagon - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Divine.png?v=1681244496,Waterjet & Freeform,Waterjet Mosaic
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Fanfare.png?v=1681243898,Scallop & Fan,Scallop Fan Tile
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/c144e232a7f7ab494712e5838ab8f186.png?v=1711373771,Diamond,Diamond - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/c92dc5bed6f044aad38c6c5f131d964f.png?v=1711373768,Chevron,Chevron - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/9acda50c33990c54564fc88a89cff39f.png?v=1711373771,Geometric,Geometric - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Divergent_-_Linear.png?v=1711373771,Culturebrick & Linear Tile,Culturebrick & Linear Tile - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/f521be6c467383f1d821c7e5d956e561.png?v=1681305482,Brick,Brick Shaped Tile
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Beyond.png?v=1681243676,Rectangle,Rectangle Shaped Tile
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Palatial.png?v=1711373779,Square,Square - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Boutique_Sleek.png?v=1711373767,Beveled,Beveled - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/pure_atlas_point-reyes_inspo.jpg?v=1729529143,All Shapes,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/checkerboard_teaser_6.png?v=1742390193,Residential Light Traffic,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Commercial_Light_Traffic_-_WOW_Cottage.png?v=1711373768,Commercial Light Traffic,Commercial Light Traffic - Architessa
